time,global_anom_mean
"(Timestamp('1850-01-01 00:00:00'), 0.0)",-0.7606646
"(Timestamp('1850-02-01 00:00:00'), 0.0)",-0.46040937
"(Timestamp('1850-03-01 00:00:00'), 0.0)",-0.53360885
"(Timestamp('1850-04-01 00:00:00'), 0.0)",-0.6279649
"(Timestamp('1850-05-01 00:00:00'), 0.0)",-0.60958445
"(Timestamp('1850-06-01 00:00:00'), 0.0)",-0.3704592
"(Timestamp('1850-07-01 00:00:00'), 0.0)",-0.29343745
"(Timestamp('1850-08-01 00:00:00'), 0.0)",-0.19664991
"(Timestamp('1850-09-01 00:00:00'), 0.0)",-0.42326102
"(Timestamp('1850-10-01 00:00:00'), 0.0)",-0.69277394
"(Timestamp('1850-11-01 00:00:00'), 0.0)",-0.34015802
"(Timestamp('1850-12-01 00:00:00'), 0.0)",-0.34197542
"(Timestamp('1851-01-01 00:00:00'), 0.0)",-0.50823635
"(Timestamp('1851-02-01 00:00:00'), 0.0)",-0.33393988
"(Timestamp('1851-03-01 00:00:00'), 0.0)",-0.6057949
"(Timestamp('1851-04-01 00:00:00'), 0.0)",-0.67630464
"(Timestamp('1851-05-01 00:00:00'), 0.0)",-0.567476
"(Timestamp('1851-06-01 00:00:00'), 0.0)",-0.430432
"(Timestamp('1851-07-01 00:00:00'), 0.0)",-0.20220894
"(Timestamp('1851-08-01 00:00:00'), 0.0)",-0.16216533
"(Timestamp('1851-09-01 00:00:00'), 0.0)",-0.17085761
"(Timestamp('1851-10-01 00:00:00'), 0.0)",-0.08871307
"(Timestamp('1851-11-01 00:00:00'), 0.0)",-0.21695076
"(Timestamp('1851-12-01 00:00:00'), 0.0)",-0.26257443
"(Timestamp('1852-01-01 00:00:00'), 0.0)",-0.2981782
"(Timestamp('1852-02-01 00:00:00'), 0.0)",-0.4371263
"(Timestamp('1852-03-01 00:00:00'), 0.0)",-0.7662271
"(Timestamp('1852-04-01 00:00:00'), 0.0)",-0.6438346
"(Timestamp('1852-05-01 00:00:00'), 0.0)",-0.37392867
"(Timestamp('1852-06-01 00:00:00'), 0.0)",-0.1738638
"(Timestamp('1852-07-01 00:00:00'), 0.0)",-0.26616877
"(Timestamp('1852-08-01 00:00:00'), 0.0)",-0.19971381
"(Timestamp('1852-09-01 00:00:00'), 0.0)",-0.20189597
"(Timestamp('1852-10-01 00:00:00'), 0.0)",-0.36704135
"(Timestamp('1852-11-01 00:00:00'), 0.0)",-0.3539774
"(Timestamp('1852-12-01 00:00:00'), 0.0)",-0.4196137
"(Timestamp('1853-01-01 00:00:00'), 0.0)",-0.43804997
"(Timestamp('1853-02-01 00:00:00'), 0.0)",-0.7266203
"(Timestamp('1853-03-01 00:00:00'), 0.0)",-0.68868595
"(Timestamp('1853-04-01 00:00:00'), 0.0)",-0.6913105
"(Timestamp('1853-05-01 00:00:00'), 0.0)",-0.3670266
"(Timestamp('1853-06-01 00:00:00'), 0.0)",-0.30202273
"(Timestamp('1853-07-01 00:00:00'), 0.0)",-0.16373006
"(Timestamp('1853-08-01 00:00:00'), 0.0)",-0.25919
"(Timestamp('1853-09-01 00:00:00'), 0.0)",-0.28867728
"(Timestamp('1853-10-01 00:00:00'), 0.0)",-0.24897544
"(Timestamp('1853-11-01 00:00:00'), 0.0)",-0.2760983
"(Timestamp('1853-12-01 00:00:00'), 0.0)",-0.21239659
"(Timestamp('1854-01-01 00:00:00'), 0.0)",-0.5405817
"(Timestamp('1854-02-01 00:00:00'), 0.0)",-0.4064274
"(Timestamp('1854-03-01 00:00:00'), 0.0)",-0.22194624
"(Timestamp('1854-04-01 00:00:00'), 0.0)",-0.37753874
"(Timestamp('1854-05-01 00:00:00'), 0.0)",-0.423707
"(Timestamp('1854-06-01 00:00:00'), 0.0)",-0.35188866
"(Timestamp('1854-07-01 00:00:00'), 0.0)",-0.2546738
